Word,PartOfSpeech,Length,NumMeaning,Meaning1,Meaning2,Meaning3
parish,Noun,6,2,a local church community,the local subdivision of a diocese committed to one pastor,
pepper,Verb,6,2,add pepper to,attack and bombard with or as if with missiles,
permit,Verb,6,3,"consent to, give permission",make it possible through a specific action or lack of action for something to happen,allow the presence of or allow (an activity
peruse,Verb,6,1,examine or consider with attention and in detail,,
photic,Adjective,6,1,of or relating to or caused by light,,
piping,Verb,6,3,utter a shrill cry,transport by pipeline,play on a pipe
plasma,Noun,6,3,"the colorless watery fluid of the blood and lymph that contains no cells, but in which the blood cells (erythrocytes, leukocytes, and thrombocytes",a green slightly translucent variety of chalcedony used as a gemstone,(physical chemistry
praise,Verb,6,1,express approval of,,
pronto,Adverb,6,1,in a punctual manner,,
recant,Verb,6,1,"formally reject or disavow a formerly held belief, usually under pressure",,
redden,Verb,6,3,"turn red, as if in embarrassment or shame",make red,turn red or redder
refuge,Noun,6,3,a safe place,something or someone turned to for assistance or security,a shelter from danger or hardship
render,Verb,6,3,cause to become,give something useful or necessary to,give an interpretation or rendition of
riding,Verb,6,3,"sit and travel on the back of animal, usually while controlling its motions",be carried or travel on or in a vehicle,continue undisturbed and without interference
ritual,Adjective,6,2,of or relating to or characteristic of religious rituals,of or relating to or employed in social rites or rituals,
roughy,Unknown,6,1,,,
ruffle,Verb,6,3,stir up (water,trouble or vex,"to walk with a lofty proud gait, often in an attempt to impress others"
savory,Adjective,6,3,morally wholesome or acceptable,having an agreeably pungent taste,pleasing to the sense of taste
scampi,Noun,6,1,large shrimp sauteed in oil or butter and garlic,,
school,Verb,6,3,educate in or as if in a school,teach or refine to be discriminative in taste or judgment,swim in or form a large group of fish
scorch,Verb,6,3,make very hot and dry,become superficially burned,destroy completely by or as if by fire
sendee,Noun,6,1,the intended recipient of a message,,
sentry,Noun,6,1,a person employed to keep watch for some anticipated event,,
sequel,Noun,6,2,something that follows something else,a part added to a book or play that continues and extends it,
shogun,Noun,6,1,a hereditary military dictator of Japan; the shoguns ruled Japan until the revolution of 1867-68,,
shrine,Verb,6,1,enclose in a shrine,,
signet,Noun,6,1,a seal (especially one used to mark documents officially,,
simmer,Verb,6,1,boil slowly at low temperature,,
smithy,Noun,6,1,a workplace where metal is worked by heating and hammering,,
soccer,Noun,6,1,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,,
speech,Noun,6,3,the act of delivering a formal spoken communication to an audience,(language,something spoken
splice,Verb,6,3,join the ends of,perform a marriage ceremony,join together so as to form new genetic combinations
sprang,Verb,6,3,move forward by leaps and bounds,develop into a distinctive entity,spring back; spring away from an impact
sprint,Verb,6,1,"run very fast, usually for a short distance",,
squall,Verb,6,3,"make high-pitched, whiney noises",utter a sudden loud cry,blow in a squall
status,Noun,6,3,the relative position or standing of things or especially persons in a society,a state at a particular time,or state
target,Verb,6,1,intend (something,,
temple,Noun,6,3,place of worship consisting of an edifice for the worship of a deity,the flat area on either side of the forehead,an edifice devoted to special or exalted purposes
tennis,Noun,6,1,a game played with rackets by two or four players who hit a ball back and forth over a net that divides the court,,
throat,Noun,6,3,the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone,an opening in the vamp of a shoe at the instep,a passage resembling a throat in shape or function
thrush,Noun,6,3,candidiasis of the oral cavity; seen mostly in infants or debilitated adults,a woman who sings popular songs,songbirds characteristically having brownish upper plumage with a spotted breast
tiepin,Noun,6,1,a pin used to hold the tie in place,,
tissue,Verb,6,1,"create a piece of cloth by interlacing strands of fabric, such as wool or cotton",,
tomato,Noun,6,2,mildly acid red or yellow pulpy fruit eaten as a vegetable,native to South America; widely cultivated in many varieties,
tongue,Verb,6,2,"articulate by tonguing, as when playing wind instruments",lick or explore with the tongue,
treaty,Noun,6,1,a written agreement between two states or sovereigns,,
turtle,Verb,6,2,overturn accidentally,"hunt for turtles, especially as an occupation",
tyrant,Noun,6,3,a cruel and oppressive dictator,"in ancient Greece, a ruler who had seized power without legal right to it",any person who exercises power in a cruel way
umpire,Verb,6,1,be a referee or umpire in a sports competition,,
unique,Adjective,6,3,radically distinctive and without equal,(followed by `to',the single one of its kind
Viking,Noun,6,1,any of the Scandinavian people who raided the coasts of Europe from the 8th to the 11th centuries,,
volley,Verb,6,3,be dispersed in a volley,hit before it touches the ground,"discharge in, or as if in, a volley"
walrus,Noun,6,1,either of two large northern marine mammals having ivory tusks and tough hide over thick blubber,,
wampum,Noun,6,2,informal terms for money,small cylindrical beads made from polished shells and fashioned into strings or belts; used by certain Native American peoples as jewelry or currency,
wanton,Adjective,6,3,occurring without motivation or provocation,casual and unrestrained in sexual behavior,or light
weapon,Noun,6,2,any instrument or instrumentality used in fighting or hunting,a means of persuading or arguing,
whammy,Noun,6,2,a serious or devastating setback,an evil spell,
wigwam,Noun,6,1,a Native American lodge frequently having an oval shape and covered with bark or hides,,
wooden,Adjective,6,2,made or consisting of (entirely or in part,lacking ease or grace,
worthy,Adjective,6,3,having worth or merit or value; being honorable or admirable,worthy of being chosen especially as a spouse,having qualities or abilities that merit recognition in some way
wrench,Verb,6,3,"twist or pull violently or suddenly, especially so as to remove (something",make a sudden twisting motion,"twist and compress, as if in pain or anguish"
zinnia,Noun,6,1,any of various plants of the genus Zinnia cultivated for their variously and brightly colored flower heads,,
abdomen,Noun,7,2,the region of the body of a vertebrate between the thorax and the pelvis,the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm,
acronym,Noun,7,3,a word formed from the initial letters of the several words in the name and pronounced as one word,ontained,nderwater
adamant,Adjective,7,1,"impervious to pleas, persuasion, requests, reason",,
adorned,Adjective,7,1,provided with something intended to increase its beauty or distinction,,
affront,Verb,7,1,"treat, mention, or speak to rudely",,
alcohol,Noun,7,3,a liquor or brew containing alcohol as the active agent,or drink,any of a series of volatile hydroxyl compounds that are made from hydrocarbons by distillation
algebra,Noun,7,1,the mathematics of generalized arithmetical operations,,
apology,Noun,7,3,an expression of regret at having caused trouble for someone,a formal written defense of something you believe in strongly,a poor example
appoint,Verb,7,3,create and charge with a task or function,"assign a duty, responsibility or obligation to",furnish
approve,Verb,7,2,give sanction to,judge to be right or commendable; think well of,
arcaded,Unknown,7,1,,,
attuned,Verb,7,1,adjust or accustom to; bring into harmony with,,
baggage,Noun,7,3,cases used to carry belongings when traveling,a worthless or immoral woman,the portable equipment and supplies of an army
balcony,Noun,7,2,an upper floor projecting from the rear over the main floor in an auditorium,a platform projecting from the wall of a building and surrounded by a balustrade or railing or parapet,
ballast,Verb,7,1,make steady with a ballast,,
bambino,Noun,7,1,a young child,,
bandage,Verb,7,2,wrap around with something so as to cover or enclose,dress by covering or binding,
bazooka,Noun,7,1,a portable rocket launcher used by infantrymen as an antitank weapon,,
beading,Verb,7,3,"form into beads, as of water or sweat, for example",decorate by sewing beads onto,string together like beads
behoove,Verb,7,1,be appropriate or necessary,,
benefit,Verb,7,2,derive a benefit from,be beneficial for,
blooper,Noun,7,1,an embarrassing mistake,,
bolster,Verb,7,3,support and strengthen,prop up with a pillow or bolster,add padding to
buffalo,Verb,7,1,intimidate or overawe,,
buffoon,Noun,7,2,a rude or vulgar fool,a person who amuses others by ridiculous behavior,
burgher,Noun,7,2,a citizen of an English borough,a member of the middle class,
bycatch,Noun,7,1,unwanted marine creatures that are caught in the nets while fishing for another species,,
caboose,Noun,7,2,the area for food preparation on a ship,a car on a freight train for use of the train crew; usually the last car on the train,
cadenza,Noun,7,1,a brilliant solo passage occurring near the end of a piece of music,,
capitol,Noun,7,2,a building occupied by a state legislature,the government building in Washington where the United States Senate and the House of Representatives meet,
capsule,Verb,7,2,enclose in a capsule,put in a short or concise form; reduce in volume,
carbide,Noun,7,1,a binary compound of carbon with a more electropositive element,,
carrier,Noun,7,3,someone whose employment involves carrying something,a self-propelled wheeled vehicle designed specifically to carry something,a large warship that carries planes and has a long flat deck for takeoffs and landings
charter,Verb,7,3,hold under a lease or rental agreement; of goods and services,grant a charter to,engage for service under a term of contract
clatter,Verb,7,1,make a rattling sound,,
coinage,Noun,7,3,coins collectively,a newly invented word or phrase,the act of inventing a word or phrase
college,Noun,7,3,the body of faculty and students of a college,an institution of higher education created to educate and grant degrees; often a part of a university,a complex of buildings in which an institution of higher education is housed
confess,Verb,7,3,"confess to a punishable or reprehensible deed, usually under pressure",admit (to a wrongdoing,"confess to God in the presence of a priest, as in the Catholic faith"
connote,Verb,7,2,express or state indirectly,involve as a necessary condition of consequence; as in logic,
corrupt,Adjective,7,3,lacking in integrity,not straight; dishonest or immoral or evasive,containing errors or alterations
cruiser,Noun,7,3,a car in which policemen cruise the streets; equipped with radiotelephonic communications to headquarters,a large fast warship; smaller than a battleship and larger than a destroyer,a large motorboat that has a cabin and plumbing and other conveniences necessary for living on board
curtail,Verb,7,2,place restrictions on,terminate or abbreviate before its intended or proper end or its full extent,
cyclone,Noun,7,2,(meteorology,a violent rotating windstorm,
dawdler,Noun,7,1,someone who takes more time than necessary; someone who lags behind,,
declaim,Verb,7,2,recite in elocution,speak against in an impassioned manner,
density,Noun,7,2,the amount per unit size,the spatial property of being crowded together,
disdain,Verb,7,2,look down on with disdain,reject with contempt,
disease,Noun,7,1,an impairment of health or a condition of abnormal functioning,,
dribble,Verb,7,3,"run or flow slowly, as in drops or in an unsteady stream",let or cause to fall in drops,propel
dynamic,Adjective,7,3,characterized by action or forcefulness or force of personality,of or relating to dynamics,(used of verbs (e.g. `to run'
earnest,Adjective,7,3,characterized by a firm and humorless belief in the validity of your opinions,sincerely earnest,not distracted by anything unrelated to the goal
endless,Adjective,7,3,tiresomely long; seemingly without end,infinitely great in number,having no known beginning and presumably no end
eyeball,Verb,7,1,look at,,
failure,Noun,7,3,an act that fails,an event that does not accomplish its intended purpose,lack of success
fasting,Verb,7,2,"abstain from certain foods, as for religious or medical reasons",abstain from eating,
fatigue,Verb,7,2,lose interest or become bored with something or somebody,exhaust or get tired through overuse or great strain or stress,
fielder,Noun,7,2,a member of the baseball team that is in the field instead of at bat,a member of the cricket team that is fielding rather than batting,
fishgig,Noun,7,1,an implement with a shaft and barbed point used for catching fish,,
fluster,Verb,7,2,be flustered; behave in a confused manner,cause to be nervous or upset,
footing,Verb,7,2,pay for something,add a column of numbers,
formula,Noun,7,3,a group of symbols that make a mathematical statement,directions for making something,a conventionalized statement expressing some fundamental principle
foxhole,Noun,7,1,a small dugout with a pit for individual shelter against enemy fire,,
freckle,Verb,7,2,become freckled,mark with freckles,
frogged,Verb,7,1,hunt frogs for food,,
garland,Verb,7,1,adorn with bands of flowers or leaves,,
gastric,Adjective,7,1,relating to or involving the stomach,,
general,Adjective,7,3,applying to all or most members of a category or group,not specialized or limited to one class of things,prevailing among and common to the general public
giraffe,Noun,7,1,tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa,,
grabble,Unknown,7,1,,,
granger,Noun,7,1,a person who operates a farm,,
granule,Noun,7,1,a tiny grain,,
grenade,Noun,7,1,a small explosive bomb thrown by hand or fired from a missile,,
gunboat,Noun,7,1,a small shallow-draft boat carrying mounted guns; used by costal patrols,,
handily,Adverb,7,2,in a convenient manner,with no difficulty,
healthy,Adjective,7,3,having or indicating good health in body or mind; free from infirmity or disease,financially secure and functioning well,promoting health; healthful
hemlock,Noun,7,3,poisonous drug derived from an Eurasian plant of the genus Conium,large branching biennial herb native to Eurasia and Africa and adventive in North America having large fernlike leaves and white flowers; usually found in damp habitats; all parts extremely poisonous,soft coarse splintery wood of a hemlock tree especially the western hemlock
heroine,Noun,7,2,the main good female character in a work of fiction,a woman possessing heroic qualities or a woman who has performed heroic deeds,
holster,Noun,7,2,a sheath (usually leather,a belt with loops or slots for carrying small hand tools,
homburg,Noun,7,1,a hat made of felt with a creased crown,,
hormone,Noun,7,1,the secretion of an endocrine gland that is transmitted by the blood to the tissue on which it has a specific effect,,
hourage,Unknown,7,1,,,
housing,Verb,7,2,contain or cover,provide housing for,
hydrate,Verb,7,3,supply water or liquid to in order to maintain a healthy balance,become hydrated and combine with water,cause to be hydrated; add water or moisture to
icebone,Unknown,7,1,,,
igneous,Adjective,7,3,produced under conditions involving intense heat,produced by the action of fire or intense heat,like or suggestive of fire
implode,Verb,7,1,burst inward,,
improve,Verb,7,2,to make better,get better,
impulse,Noun,7,3,an instinctive motive,a sudden desire,the electrical discharge that travels along a nerve fiber
inferno,Noun,7,3,any place of pain and turmoil,a very intense and uncontrolled fire,(Christianity
infidel,Noun,7,1,a person who does not acknowledge your god,,
isobath,Unknown,7,1,,,
January,Noun,7,1,the first month of the year; begins 10 days after the winter solstice,,
lapwing,Noun,7,1,large crested Old World plover having wattles and spurs,,
lemming,Noun,7,1,any of various short-tailed furry-footed rodents of circumpolar distribution,,
library,Noun,7,3,a room where books are kept,a collection of literary documents or records kept for reference or borrowing,a depository built to contain books and other materials for reading and study
lunatic,Adjective,7,1,insane and believed to be affected by the phases of the moon,,
mahatma,Noun,7,1,(Hinduism,,
massage,Verb,7,2,manually manipulate (someone's body,give a massage to,
measure,Verb,7,3,"determine the measurements of something or somebody, take measurements of",express as a number or measure or quantity,have certain dimensions
mention,Verb,7,3,make reference to,make mention of,commend
missile,Noun,7,2,a rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control,a weapon that is forcibly thrown or projected at a targets but is not self-propelled,
mission,Noun,7,3,an organization of missionaries in a foreign land sent to carry on religious work,an operation that is assigned by a higher headquarters,a special assignment that is given to a person or group
missive,Noun,7,1,a written message addressed to a person or organization,,
modicum,Noun,7,1,a small or moderate or token amount,,
mustang,Noun,7,1,small hardy range horse of the western plains descended from horses brought by the Spanish,,
nervous,Adjective,7,3,easily agitated,causing or fraught with or showing anxiety,of or relating to the nervous system
nominee,Noun,7,1,a politician who is running for public office,,
nostril,Noun,7,1,either one of the two external openings to the nasal cavity in the nose,,
notable,Adjective,7,2,widely known and esteemed,"worthy of attention because interesting, significant, or unusual",
nucleus,Noun,7,3,a part of the cell containing DNA and RNA and responsible for growth and reproduction,the positively charged dense center of an atom,a small group of indispensable persons or things
obscene,Adjective,7,3,designed to incite to indecency or lust,offensive to the mind,suggestive of or tending to moral looseness
observe,Verb,7,3,"discover or determine the existence, presence, or fact of",make mention of,observe with care or pay close attention to
officer,Verb,7,1,direct or command as an officer,,
oppress,Verb,7,2,come down on or keep down by unjust use of one's authority,cause to suffer,
orbital,Adjective,7,2,of or relating to an orbit,of or relating to the eye socket,
organic,Adjective,7,3,relating or belonging to the class of chemical compounds having a carbon basis,being or relating to or derived from or having properties characteristic of living organisms,involving or affecting physiology or bodily organs
overdue,Adjective,7,1,past due; not paid at the scheduled time,,
paddock,Noun,7,1,pen where racehorses are saddled and paraded before a race,,
peasant,Noun,7,3,a country person,one of a (chiefly European,a crude uncouth ill-bred person lacking culture or refinement
penalty,Noun,7,3,the act of punishing,a payment required for not fulfilling a contract,the disadvantage or painful consequences of an action or condition
Permian,Noun,7,1,from 280 million to 230 million years ago; reptiles,,
petunia,Noun,7,2,any of numerous tropical herbs having fluted funnel-shaped flowers,annual or perennial herbs or shrubs of tropical South America,
pierced,Adjective,7,1,having a hole cut through,,
polecat,Noun,7,2,American musteline mammal typically ejecting an intensely malodorous fluid when startled; in some classifications put in a separate subfamily Mephitinae,dark brown mustelid of woodlands of Eurasia that gives off an unpleasant odor when threatened,
polygon,Noun,7,1,a closed plane figure bounded by straight sides,,
pompous,Adjective,7,2,puffed up with vanity,characterized by pomp and ceremony and stately display,
prelude,Verb,7,2,serve as a prelude or opening to,play as a prelude,
pretzel,Noun,7,1,glazed and salted cracker typically in the shape of a loose knot,,
product,Noun,7,3,commodities offered for sale,an artifact that has been created by someone or some process,a quantity obtained by multiplication
profane,Adjective,7,3,characterized by profanity or cursing,not concerned with or devoted to religion,not holy because unconsecrated or impure or defiled
prophet,Noun,7,2,an authoritative person who divines the future,someone who speaks by divine inspiration; someone who is an interpreter of the will of God,
pulsate,Verb,7,3,expand and contract rhythmically; beat rhythmically,move with or as if with a regular alternating motion,produce or modulate (as electromagnetic waves
quarter,Verb,7,3,provide housing for (military personnel,pull (a person,divide into quarters
radical,Adjective,7,3,(used of opinions and actions,markedly new or introducing radical change,arising from or going to the root or source
ragwort,Noun,7,2,widespread European weed having yellow daisylike flowers; sometimes an obnoxious weed and toxic to cattle if consumed in quantity,American ragwort with yellow flowers,
rampage,Verb,7,1,"act violently, recklessly, or destructively",,
refugee,Noun,7,1,an exile who flees for safety,,
regency,Noun,7,3,the period of time during which a regent governs,the period from 1811-1820 when the Prince of Wales was regent during George III's periods of insanity,the office of a regent
respell,Unknown,7,1,,,
respire,Verb,7,3,"breathe easily again, as after exertion or anxiety",undergo the biomedical and metabolic processes of respiration by taking up oxygen and producing carbon monoxide,"draw air into, and expel out of, the lungs"
riptide,Noun,7,2,a stretch of turbulent water in a river or the sea caused by one current flowing into or across another current,a strong surface current flowing outwards from a shore,
routine,Adjective,7,1,found in the ordinary course of events,,
rupture,Verb,7,1,separate or cause to separate abruptly,,
sabbath,Noun,7,1,a day of rest and worship: Sunday for most Christians; Saturday for the Jews and a few Christians; Friday for Muslims,,
scholar,Noun,7,3,a learned person (especially in the humanities,someone (especially a child,as from a teacher
scruple,Verb,7,3,hesitate on moral grounds,raise scruples,have doubts about
secrete,Verb,7,2,generate and separate from cells or bodily fluids,place out of sight; keep secret,
several,Adjective,7,3,(used with count nouns,considered individually,distinct and individual
shampoo,Verb,7,1,use shampoo on (hair,,
shingle,Verb,7,1,cover with shingles,,
skillet,Noun,7,1,a pan used for frying foods,,
sniggle,Unknown,7,1,,,
sparkle,Verb,7,3,reflect brightly,be lively or brilliant or exhibit virtuosity,emit or produce sparks
Spartan,Adjective,7,3,of or relating to or characteristic of Sparta or its people,resolute in the face of pain or danger or adversity,unsparing and uncompromising in discipline or judgment
stipple,Verb,7,3,engrave by means of dots and flicks,"make by small short touches that together produce an even or softly graded shadow, as in paint or ink",apply (paint
storage,Noun,7,3,the act of storing something,a depository for goods,the commercial enterprise of storing goods and materials
surpass,Verb,7,3,distinguish oneself,be or do something to a greater degree,move past
suspend,Verb,7,3,hang freely,cause to be held in suspension in a fluid,"bar temporarily; from school, office, etc."
swallow,Verb,7,3,pass through the esophagus as part of eating or drinking,engulf and destroy,"enclose or envelop completely, as if by swallowing"
thermal,Adjective,7,3,relating to or associated with heat,of or relating to a hot spring,caused by or designed to retain heat
toehold,Noun,7,3,a relatively insignificant position from which future progress might be made,a small foothold used in climbing,a wrestling hold in which the toe is held and the leg is twisted against the joints
tooling,Verb,7,3,ride in a car with no particular goal and just for the pleasure of it,furnish with tools,work with a tool
topiary,Noun,7,2,a garden having shrubs clipped or trimmed into decorative shapes especially of animals,making decorative shapes by trimming shrubs or trees,
topical,Adjective,7,3,pertaining to the surface of a body part,or local,of or relating to or arranged by topics
tornado,Noun,7,2,a localized and violently destructive windstorm occurring over land characterized by a funnel-shaped cloud extending toward the ground,a purified and potent form of cocaine that is smoked rather than snorted; highly addictive,
traitor,Noun,7,2,someone who betrays his country by committing treason,a person who says one thing and does another,
trilogy,Noun,7,1,a set of three literary or dramatic works related in subject or theme,,
trinket,Noun,7,1,cheap showy jewelry or ornament on clothing,,
twister,Noun,7,2,a localized and violently destructive windstorm occurring over land characterized by a funnel-shaped cloud extending toward the ground,small friedcake formed into twisted strips and fried; richer than doughnuts,
unicorn,Noun,7,1,an imaginary creature represented as a white horse with a long horn growing from its forehead,,
upright,Adjective,7,3,in a vertical position; not sloping,of moral excellence,upright in position or posture
vanilla,Adjective,7,2,flavored with vanilla extract,plain and without any extras or adornments,
vaporer,Unknown,7,1,,,
varnish,Verb,7,1,cover with varnish,,
worship,Verb,7,3,love unquestioningly and uncritically or to excess; venerate as an idol,show devotion to (a deity,attend religious services
wrinkle,Verb,7,3,gather or contract into wrinkles or folds; pucker,"make wrinkles or creases on a smooth surface; make a pressed, folded or wrinkled line in; `crisp' is archaic",make wrinkled or creased
zoology,Noun,7,2,all the animal life in a particular region or period,the branch of biology that studies animals,
adjacent,Adjective,8,3,nearest in space or position; immediately adjoining without intervening space,having a common boundary or edge; abutting; touching,near or close to but not necessarily touching
agnostic,Adjective,8,2,of or pertaining to an agnostic or agnosticism,uncertain of all claims to knowledge,
airborne,Adjective,8,1,moved or conveyed by or through air,,
aircraft,Noun,8,1,a vehicle that can fly,,
alderman,Noun,8,1,a member of a municipal legislative body (as a city council,,
arachnid,Noun,8,1,air-breathing arthropods characterized by simple eyes and four pairs of legs,,
aromatic,Adjective,8,2,(chemistry,having a strong pleasant odor,
asterisk,Verb,8,1,mark with an asterisk,,
axletree,Noun,8,1,a dead axle on a carriage or wagon that has terminal spindles on which the wheels revolve,,
balefire,Noun,8,1,a large outdoor fire that is lighted as a signal or in celebration,,
beletter,Unknown,8,1,,,
boatload,Noun,8,1,the amount of cargo that can be held by a boat or ship or a freight car,,
bookworm,Noun,8,2,a person who pays more attention to formal rules and book learning than they merit,someone who spends a great deal of time reading,
bracelet,Noun,8,2,a band of cloth or leather or metal links attached to a wristwatch and wrapped around the wrist,jewelry worn around the wrist for decoration,
brackish,Adjective,8,2,distasteful and unpleasant; spoiled by mixture,slightly salty (especially from containing a mixture of seawater and fresh water,
browbeat,Verb,8,2,be bossy towards,discourage or frighten with threats or a domineering manner; intimidate,
bulletin,Verb,8,1,make public by bulletin,,
butchery,Noun,8,3,a building where animals are butchered,the business of a butcher,the savage and excessive killing of many people
campaign,Verb,8,3,"run, stand, or compete for an office or a position","exert oneself continuously, vigorously, or obtrusively to gain an end or engage in a crusade for a certain cause or person; be an advocate for",go on a campaign; go off to war
carnival,Noun,8,3,a festival marked by merrymaking and processions,a frenetic disorganized (and often comic,a traveling show; having sideshows and rides and games of skill etc.
cataract,Noun,8,2,an eye disease that involves the clouding or opacification of the natural lens of the eye,a large waterfall; violent rush of water over a precipice,
cellular,Adjective,8,2,relating to cells,characterized by or divided into or containing cells or compartments (the smallest organizational or structural unit of an organism or organization,
cemetery,Noun,8,1,a tract of land used for burials,,
centrist,Adjective,8,1,supporting or pursuing a course of action that is neither liberal nor conservative,,
champion,Adjective,8,1,holding first place in a contest,,
checkoff,Unknown,8,1,,,
cleanser,Noun,8,1,a preparation used in cleaning something,,
cockatoo,Noun,8,1,white or light-colored crested parrot of the Australian region; often kept as cage birds,,
collapse,Verb,8,3,"break down, literally or metaphorically","collapse due to fatigue, an illness, or a sudden attack",fold or close up
compound,Adjective,8,3,composed of more than one part,consisting of two or more substances or ingredients or elements or parts,composed of many distinct individuals united to form a whole or colony
contract,Verb,8,3,enter into a contractual arrangement,engage by written agreement,squeeze or press together
critical,Adjective,8,3,marked by a tendency to find and call attention to errors and flaws,at or of a point at which a property or phenomenon suffers an abrupt change especially having enough mass to sustain a chain reaction,characterized by careful evaluation and judgment
darkness,Noun,8,3,absence of light or illumination,an unilluminated area,absence of moral or spiritual values
deadened,Adjective,8,2,devoid of physical sensation; numb,made or become less intense,
deadlock,Noun,8,1,a situation in which no progress can be made or no advancement is possible,,
defensor,Unknown,8,1,,,
diabetic,Adjective,8,2,of or relating to or causing diabetes,suffering from diabetes,
diatomic,Adjective,8,1,of or relating to a molecule made up of two atoms,,
director,Noun,8,3,someone who controls resources and expenditures,member of a board of directors,someone who supervises the actors and directs the action in the production of a show
division,Noun,8,3,an army unit large enough to sustain combat,one of the portions into which something is regarded as divided and which together constitute a whole,the act or process of dividing
dogwatch,Noun,8,1,either of two short watches: from 4-6 pm or 6-8 pm,,
doneness,Unknown,8,1,,,
dopester,Unknown,8,1,,,
drilling,Verb,8,3,"make a hole, especially with a pointed power or hand tool","train in the military, e.g., in the use of weapons",learn by repetition
dwelling,Verb,8,3,think moodily or anxiously about something,originate (in,be an inhabitant of or reside in
earlyish,Adjective,8,1,being somewhat early,,
enormous,Adjective,8,1,extraordinarily large in size or extent or amount or power or degree,,
epidemic,Adjective,8,1,(especially of medicine,,
eventide,Noun,8,1,the latter part of the day (the period of decreasing daylight from late afternoon until nightfall,,
faithful,Adjective,8,3,steadfast in affection or allegiance,marked by fidelity to an original,"not having sexual relations with anyone except your husband or wife, or your boyfriend or girlfriend"
fatality,Noun,8,2,a death resulting from an accident or a disaster,the quality of being able to cause death or fatal disasters,
fiercest,Adjective,8,3,marked by extreme and violent energy,marked by extreme intensity of emotions or convictions; inclined to react violently; fervid,ruthless in competition
fixation,Noun,8,3,an abnormal state in which development has stopped prematurely,an unhealthy and compulsive preoccupation with something or someone,the activity of fastening something firmly in position
flamingo,Noun,8,1,large pink to scarlet web-footed wading bird with down-bent bill; inhabits brackish lakes,,
flounder,Verb,8,2,walk with great difficulty,behave awkwardly; have difficulties,
floweret,Noun,8,1,a diminutive flower (especially one that is part of a composite flower,,
fluoride,Noun,8,1,a salt of hydrofluoric acid,,
forestry,Noun,8,1,the science of planting and caring for forests and the management of growing timber,,
fourteen,Adjective,8,1,being one more than thirteen,,
futurity,Noun,8,2,the time yet to come,the quality of being in or of the future,
gagtooth,Unknown,8,1,,,
generate,Verb,8,3,bring into existence,give or supply,produce (energy
gridiron,Noun,8,2,a cooking utensil of parallel metal bars; used to grill fish or meat,the playing field on which football is played,
halfpace,Unknown,8,1,,,
harassed,Adjective,8,1,troubled persistently especially with petty annoyances,,
hawthorn,Noun,8,1,a spring-flowering shrub or small tree of the genus Crataegus,,
headlong,Adjective,8,2,excessively quick,with the head foremost,
hitherto,Adverb,8,1,used in negative statement to describe a situation that has existed up to this point or up to the present time,,
hittable,Unknown,8,1,,,
homework,Noun,8,1,preparatory school work done outside school (especially at home,,
identify,Verb,8,3,recognize as being; establish the identity of someone or something,give the name or identifying characteristics of; refer to by name or some other identifying characteristic property,consider (oneself
ignorant,Adjective,8,3,uneducated in general; lacking knowledge or sophistication,uneducated in the fundamentals of a given art or branch of learning; lacking knowledge of a specific field,unaware because of a lack of relevant information or knowledge
imperial,Adjective,8,3,relating to or associated with an empire,of or belonging to the British Imperial System of weights and measures,befitting or belonging to an emperor or empress
infantry,Noun,8,1,an army unit consisting of soldiers who fight on foot,,
inferior,Adjective,8,3,of or characteristic of low rank or importance,of low or inferior quality,written or printed below and to one side of another character
infinite,Adjective,8,3,having no limits or boundaries in time or space or extent or magnitude,(of verbs,as a participle or gerund or infinitive
infinity,Noun,8,1,time without end,,
jamboree,Noun,8,1,a gay festivity,,
laudable,Adjective,8,1,worthy of high praise,,
legalize,Verb,8,1,make legal,,
lipstick,Verb,8,2,form by tracing with lipstick,apply lipstick to,
literacy,Noun,8,1,the ability to read and write,,
macaroni,Noun,8,2,a British dandy in the 18th century who affected Continental mannerisms,pasta in the form of slender tubes,
magician,Noun,8,2,someone who performs magic tricks to amuse an audience,one who practices magic or sorcery,
mahimahi,Noun,8,2,the lean flesh of a saltwater fish found in warm waters (especially in Hawaii,large slender food and game fish widely distributed in warm seas (especially around Hawaii,
majority,Noun,8,3,the property resulting from being or relating to the greater in number of two parts; the main part,(elections,the age at which persons are considered competent to manage their own affairs
marinate,Verb,8,1,soak in marinade,,
maritime,Adjective,8,2,relating to or involving ships or shipping or navigation or seamen,bordering on or living or characteristic of those near the sea,
mattress,Noun,8,1,"a large thick pad filled with resilient material and often incorporating coiled springs, used as a bed or part of a bed",,
meditate,Verb,8,2,reflect deeply on a subject,"think intently and at length, as for spiritual purposes",
misspeak,Verb,8,1,pronounce a word incorrectly,,
mobilize,Verb,8,3,make ready for action or use,call to arms; of military personnel,get ready for war
mountain,Noun,8,1,a land mass that projects well above its surroundings; higher than a hill,,
nautilus,Noun,8,3,a submarine that is propelled by nuclear power,cephalopod mollusk of warm seas whose females have delicate papery spiral shells,cephalopod of the Indian and Pacific oceans having a spiral shell with pale pearly partitions
nineteen,Adjective,8,1,being one more than eighteen,,
